GEOID,filings_2020,filings_avg,racial_majority,month,ZIP,HUD Area Code_x,HUD Metro FMR Area Name_x,SAFMR22 2BR,SAFMR22 2BR 90% Pmt,SAFMR22 2BR 110% Pmt,HUD Area Code_y,HUD Metro FMR Area Name_y,SAFMR21 2BR,SAFMR21 2BR 90% Pmt,SAFMR21 2BR 110% Pmt,CBSASub20,HUD Metro FMR Area Name20,SAFMR20 2BR,SAFMR20 2BR 90% Pmt,SAFMR20 2BR 110% Pmt
10001,20,59.3333333333333,White,08/2021,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,4,45.3333333333333,White,09/2021,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,6,53.0,White,10/2021,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,12,46.6666666666667,White,11/2021,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,15,48.0,White,12/2021,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,18,55.0,White,01/2022,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,19,48.0,White,02/2022,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,25,48.3333333333333,White,03/2022,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,29,41.6666666666667,White,04/2022,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
10001,19,26.3333333333333,White,05/2022,10001,METRO35620MM5600,"New York, NY HUD Metro FMR Area",3470,3123,3817,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2510,2259,2761,METRO35620MM5600,"New York, NY HUD Metro FMR Area",2110,1899,2321
